"Symbol","Name","OTC Market","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","Current yield","Avg Volume","Action"
"FCREY","Fletcher Building Limited Sponsored ADRs","Pink","New Zealand","NZ:FBU","New Zealand Exchange Ltd","Materials","$4,178,924,829","2.94%","0","Analyze"
"WBRBY","Wienerberger AG Sponsored ADRs","Pink","Austria","AV:WIE","Wiener Boerse Ag","Materials","$4,146,767,352","8.33%","5,959","Analyze"
"SKLKY","Shinsei Bank Ltd Sponsored ADRs","Pink","Japan","JT:8303","Tokyo Stock Exchange","Financials","$4,144,555,024","0.64%","484","Analyze"
"EVNVY","EVN AG Sponsored ADRs","Pink","Austria","AV:EVN","Wiener Boerse Ag","Utilities","$4,092,233,646","10.77%","0","Analyze"
"PCCWY","PCCW Limited Sponsored ADRs","Pink","Hong Kong","HK:0008","Hong Kong Exchange","Communication Services","$4,019,411,890","6.23%","453","Analyze"
"UPCHY","Uni-President China Holdings Ltd. Sponsored ADRs","Pink","China","HK:0220","Hong Kong Exchange","Consumer Staples","$3,971,195,680","0.41%","7","Analyze"
"WEICY","Weichai Pwr Co Unsp/Adrs","Pink","China","HK:2338","Hong Kong Exchange","Industrials","$3,893,366,400","2.61%","17,333","Analyze"
"NWSGY","NWS Holdings Limited Sponsored ADRs","Pink","China","HK:0659","Hong Kong Exchange","Industrials","$3,879,848,747","5.95%","1,284","Analyze"
"KWHIY","Kawasaki Heavy Industries Ltd Sponsored ADRs","Pink","Japan","JT:7012","Tokyo Stock Exchange","Industrials","$3,828,617,040","0.00%","4,129","Analyze"
"VNRFY","Vienna Insurance Group AG Wiener Versicherung Gruppe Sponsored ADRs","Pink","Austria","AV:VIG","Wiener Boerse Ag","Financials","$3,804,800,000","12.62%","5,050","Analyze"
"ISSDY","ISS A/S Sponsored ADRs","Pink","Denmark","DC:ISS","Omx Nordic Exchange Copenhagen A/S","Industrials","$3,757,960,800","11.90%","0","Analyze"
"SGAMY","Sega Sammy Holdings Inc. Sponsored ADRs","Pink","Japan","JT:6460","Tokyo Stock Exchange","Consumer Discretionary","$3,727,212,664","2.52%","2,735","Analyze"
"LKNCY","Luckin Coffee Inc Sp/Adrs","Pink","","","","Unknown","$3,723,184,571","0.00%","0","Analyze"
"YZCAY","Yanzhou Coal Mining Co. Ltd. Sponsored ADRs Class H","OTCQX","China","HK:1171","Hong Kong Exchange","Energy","$3,695,500,000","3.08%","10,465","Analyze"
"MRPLY","Mr Price Group Limited Sponsored ADRs","Pink","South Africa","SJ:MRP","Johannesburg Stock Exchange","Consumer Discretionary","$3,631,213,821","47.51%","5,787","Analyze"
"HYSNY","Hysan Development Co. Ltd. Sponsored ADRs","Pink","Hong Kong","HK:0014","Hong Kong Exchange","Real Estate","$3,570,254,082","20.90%","310","Analyze"
"GIKLY","Grifols S.A. Sponsored ADRs Class A","Pink","Spain","SM:GRF","Bolsa De Madrid","Health Care","$3,555,380,000","2.94%","0","Analyze"
"STWRY","Software AG Sponsored ADRs","OTCQX","Germany","GF:SOW","Frankfurt Stock Exchange","Information Technology","$3,484,956,000","6.46%","2,124","Analyze"
"HNLGY","Hang Lung Group Limited Sponsored ADRs","Pink","Hong Kong","HK:0010","Hong Kong Exchange","Real Estate","$3,444,894,147","6.64%","100","Analyze"
"LMPMY","Lee & Man Paper Manufacturing Limited Sponsored ADRs","Pink","Hong Kong","HK:2314","Hong Kong Exchange","Materials","$3,399,074,044","4.22%","193","Analyze"
"CPKPY","CP Pokphand Co. Ltd. Sponsored ADRs","Pink","Hong Kong","HK:0043","Hong Kong Exchange","Consumer Staples","$3,398,943,416","0.37%","139","Analyze"
"BTVCY","Britvic plc Sponsored ADRs","OTCQX","United Kingdom","LN:BVIC","London Stock Exchange","Consumer Staples","$3,396,053,793","1.11%","7,536","Analyze"
"TCCPY","TechnoPro Holdings Inc. Sponsored ADRs","Pink","Japan","JT:6028","Tokyo Stock Exchange","Industrials","$3,371,898,200","1.79%","10,084","Analyze"
"HYPMY","Hypera S.A. Sponsored ADRs","Pink","Brazil","BS:HYPE3","XBSP","Health Care","$3,331,793,529","22.89%","3,021","Analyze"
"AIRYY","Air China Limited Sponsored ADRs Class H","Pink","China","HK:0753","Hong Kong Exchange","Industrials","$3,306,804,765","0.05%","800","Analyze"
"SWRBY","Swire Pacific Limited Sponsored ADRs Class B","Pink","Hong Kong","HK:0087","Hong Kong Exchange","Real Estate","$3,220,419,600","37.04%","316","Analyze"
"VIAAY","Flughafen Wien AG Sponsored ADRs","Pink","Austria","GF:FLW1","Frankfurt Stock Exchange","Communication Services","$3,198,720,000","4.49%","0","Analyze"
"KWPCY","Kewpie Corporation Sponsored ADRs","Pink","Japan","JT:2809","Tokyo Stock Exchange","Consumer Staples","$3,183,750,000","44.44%","899","Analyze"
"BVNRY","Bavarian Nordic A/S Sponsored ADRs","Pink","Denmark","DC:BAVA","Omx Nordic Exchange Copenhagen A/S","Health Care","$3,180,833,059","3.75%","105","Analyze"
