"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"PRTC","PureTech Health plc ADRs","United Kingdom","LN:PRTC","London Stock Exchange","Health Care","$1,412,700,966","22.89","103.21","2.53","0.00%","4,276","Analyze"
"CMPS","COMPASS Pathways Plc ADRs","United Kingdom","PRIVATE","","Health Care","$1,408,468,416","0.00","0.00","4.42","0.00%","333,281","Analyze"
"CBD","Companhia Brasileira de Distribuica ADRs","Brazil","BS:PCAR4","XBSP","Consumer Discretionary","$1,389,605,916","3.62","0.13","0.09","8.39%","1,465,145","Analyze"
"ZEAL","Zealand Pharma A/S ADRs","Denmark","DC:ZEAL","Omx Nordic Exchange Copenhagen A/S","Health Care","$1,382,793,400","0.00","0.00","1.00","0.00%","4,288","Analyze"
"GGAL","Grupo Financiero Galicia ADRs of Class B","Argentina","AF:GGAL","Bolsa de Comercio de Buenos Aires","Financials","$1,303,269,720","10.36","0.60","0.01","0.59%","608,681","Analyze"
"YSG","Yatsen Holding Ltd ADRs","China","PRIVATE","","Consumer Discretionary","$1,301,305,219","0.00","1.34","0.20","0.00%","4,033,502","Analyze"
"BNR","Burning Rock Biotech Limited ADRs","China","PRIVATE","","Health Care","$1,275,209,631","0.00","16.63","0.57","0.00%","234,427","Analyze"
"GTH","Genetron Holdings Limited ADRs","China","PRIVATE","","Health Care","$1,235,316,908","0.00","16.48","0.82","0.00%","194,709","Analyze"
"IMOS","ChipMOS TECHNOLOGIES ADRs","Taiwan","TT:8150","Taiwan Stock Exchange","Information Technology","$1,212,309,280","10.10","1.37","0.05","4.74%","40,592","Analyze"
"DOYU","DouYu International Holdings Limited ADRs","China","PRIVATE","","Communication Services","$1,210,048,517","0.00","0.83","0.18","0.00%","2,650,628","Analyze"
"RERE","AiHuiShou International Co. Ltd. ADRs","China","PRIVATE","","Consumer Discretionary","$1,209,470,050","0.00","1.46","0.19","0.00%","339,009","Analyze"
"MTLS","Materialise NV ADRs","Belgium","PRIVATE","","Information Technology","$1,196,598,887","0.00","5.64","5.77","0.00%","205,658","Analyze"
"TIGR","UP Fintech Holding Limited ADRs of Class A","China","PRIVATE","","Financials","$1,190,317,112","101.86","5.32","2.81","0.00%","9,932,582","Analyze"
"ITCB","Itau CorpBanca ADRs","Chile","CC:ITAUCORP","Santiago Stock Exchange","Financials","$1,175,119,504","2.29","0.84","0.00","0.00%","26,775","Analyze"
"CAN","Canaan Inc. ADRs","China","PRIVATE","","Information Technology","$1,147,088,673","15.42","0.68","0.73","0.00%","8,025,456","Analyze"
"PAM","Pampa Energia ADRs","Argentina","AF:PAMP","Bolsa de Comercio de Buenos Aires","Utilities","$1,135,189,212","-0.05","0.02","0.74","0.00%","138,510","Analyze"
"OIBR.C","Oi S.A. ADRs","Brazil","BS:OIBR3","XBSP","Communication Services","$1,112,807,846","0.00","1.39","0.18","0.00%","799,408","Analyze"
"BMA","Banco Macro S.A.  ADRs of Class B shares","Argentina","AF:BMA","Bolsa de Comercio de Buenos Aires","Financials","$1,074,183,935","6.65","0.92","0.01","91.46%","213,936","Analyze"
"MTL","Mechel PJSC ADRs","Russia","RX:MTLR","Standard-Classica-Forts","Materials","$1,067,136,056","2.99","0.24","-0.00","0.00%","379,625","Analyze"
"GOL","Gol Linhas ADRs of preferred shares","Brazil","BS:GOLL4","XBSP","Industrials","$1,051,532,039","0.00","1.07","-0.07","0.16%","1,356,338","Analyze"
"OPRA","Opera Limited ADRs","Norway","PRIVATE","","Information Technology","$1,023,646,749","4.49","5.01","0.93","0.00%","63,000","Analyze"
"FINV","FinVolution Group ADRs","China","PRIVATE","","Financials","$991,355,797","5.10","0.82","0.11","2.87%","1,056,607","Analyze"
"PLL","Piedmont Lithium Limited ADRs","Australia","AT:PLL","Asx - All Markets","Materials","$989,932,860","0.00","0.00","5.34","0.00%","295,173","Analyze"
"UXIN","Uxin Limited ADRs","China","PRIVATE","","Consumer Discretionary","$980,204,620","0.00","7.17","-0.49","0.00%","1,733,237","Analyze"
