"Symbol","Name","Category","Issuing Symbol","Country of incorporation","GICS Sector","Market cap","Average Volume","Action"
"ZCMD","Zhongchao Inc. - Class A","Common stocks","","","Health Care","$30,202,543","49,469","Analyze"
"MFH","JMU Limited ADRs","ADRs","Privately held","","Consumer Discretionary","$29,519,609","331,190","Analyze"
"TANH","Tantech Holdings Ltd.","Common stocks","","","Materials","$28,386,940","259,441","Analyze"
"HAPP","Happiness Biotech Group Limited","Common stocks","","","Health Care","$28,118,662","412,163","Analyze"
"JT","Jianpu Technology Inc.  ADRs of Class A","ADRs","Privately held","","Financials","$27,971,811","146,637","Analyze"
"TAOP","Taoping Inc.","Common stocks","","","Information Technology","$27,839,321","115,862","Analyze"
"WEI","Weidai Ltd. ADRs of Class A","ADRs","Privately held","","Financials","$27,713,952","186,659","Analyze"
"WAFU","Wah Fu Education Group Limited","Common stocks","","","Consumer Discretionary","$26,817,669","196,525","Analyze"
"LAIX","LAIX Inc. ADRs of Class A","ADRs","Privately held","","Consumer Staples","$26,376,831","135,533","Analyze"
"CJJD","China Jo-Jo Drugstores Inc.","Common stocks","","","Consumer Staples","$25,744,154","70,626","Analyze"
"PHCF","Puhui Wealth Investment Management Co., Ltd.","Common stocks","","","Financials","$23,360,343","1,027,923","Analyze"
"TIRX","Tian Ruixiang Holdings Ltd.","Common stocks","","","Financials","$22,950,000","232,536","Analyze"
"LYL","Dragon Victory International Limited","Common stocks","","","Financials","$22,414,582","236,677","Analyze"
"RETO","Reto Eco-Solutions, Inc.","Common stocks","","","Materials","$21,695,524","123,790","Analyze"
"STG","Sunlands Online Education Group ADRs of Class A","ADRs","Privately held","","Consumer Staples","$16,795,668","51,152","Analyze"
"AEHL","Antelope Enterprise Holdings Limited","Common stocks","","","Materials","$16,539,225","1,838,066","Analyze"
"EDTK","Skillful Craftsman Education Technology Limited","Common stocks","","","Consumer Discretionary","$16,440,000","294,326","Analyze"
"CLEU","China Liberal Education Holdings Limited","Common stocks","","","Consumer Discretionary","$15,769,999","1,045,050","Analyze"
"JRJC","China Finance Online ADRs","ADRs","Privately held","China","Financials","$15,335,509","407,797","Analyze"
"SXTC","China SXT Pharmaceuticals, Inc.","Common stocks","","","Health Care","$15,074,866","318,322","Analyze"
"HUSN","Hudson Capital Inc.","Common stocks","","","Financials","$14,477,890","81,433","Analyze"
"LLL","JX Luxventure Limited","Common stocks","","","Consumer Discretionary","$11,009,927","122,053","Analyze"
"MOHO","ECMOHO Limited ADRs","ADRs","Privately held","","Consumer Discretionary","$10,353,196","216,955","Analyze"
