"Symbol","Name","Cross-list symbol","Cross-list exchange","GICS Sector","Industry","Market cap","Average Volume","Action"
"CNSWF","Constellation Software Inc","CT:CSU","Toronto Stock Exchange","Information Technology","Software-Application","$37,737,876,624","0","Analyze"
"FQVLF","First Quantum Minerals","CT:FM","Toronto Stock Exchange","Materials","Copper","$16,942,561,494","0","Analyze"
"TRMLF","Tourmaline Oil Corp","CT:TOU","Toronto Stock Exchange","Energy","Oil & Gas E&P","$11,476,099,001","0","Analyze"
"FRFHF","Fairfax Financial Holdings","CT:FFH","Toronto Stock Exchange","Financials","Insurance-Property & Casualty","$11,357,129,645","0","Analyze"
"IVPAF","Ivanhoe Mines Ltd. Class A","CT:IVN","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$9,826,922,079","40,331","Analyze"
"ACDVF","Air Canada","CT:AC","Toronto Stock Exchange","Industrials","Airlines","$6,682,788,197","195,346","Analyze"
"CURLF","Curaleaf Holdings Inc.","CF:CURA","Canadian Securities Exchange","Consumer Discretionary","Drug Manufacturers—Specialty & Generic","$6,567,095,861","305,473","Analyze"
"EDVMF","Endeavour Mining Corporation","CT:EDV","Toronto Stock Exchange","Materials","Gold","$6,379,287,971","39,608","Analyze"
"GTBIF","Green Thumb Industries Inc.","CF:GTII","Canadian Securities Exchange","Consumer Discretionary","Drug Manufacturers—Specialty & Generic","$4,693,166,788","221,054","Analyze"
"BDRBF","Bombardier Inc. Class B","CT:BBD-B","Toronto Stock Exchange","Industrials","Aerospace & Defense","$3,496,416,144","450,659","Analyze"
"VRNOF","Verano Hldgs Corp","CF:VRNO","Canadian Securities Exchange","Consumer Discretionary","Drug Manufacturers-Specialty & Generic","$2,243,482,905","1,100,180","Analyze"
"WPTIF","WPT Industrial Real Estate Investment Trust","WIR-U","","Real Estate","REIT—Industrial","$1,833,996,410","3,232","Analyze"
"CTSDF","Converge Technology Solutions Corp.","CT:CTS","Toronto Stock Exchange","Information Technology","Information Technology Services","$1,830,980,955","26,981","Analyze"
"CRLBF","Cresco Labs Inc.","CF:CL","Canadian Securities Exchange","Consumer Discretionary","Drug Manufacturers—Specialty & Generic","$1,828,059,789","374,824","Analyze"
"BRPHF","Galaxy Digital Holdings Ltd","CT:GLXY","Toronto Stock Exchange","Communication Services","Capital Markets","$1,708,995,365","580,896","Analyze"
"VYGVF","Voyager Digital (Canada) Ltd.","CF:VYGR","Canadian Securities Exchange","Information Technology","Software—Application","$1,533,630,788","931,729","Analyze"
"TRRSF","Trisura Group Ltd","CT:TSU","Toronto Stock Exchange","Financials","Insurance-Specialty","$1,429,435,131","3,996","Analyze"
"CCHWF","Columbia Care Inc.","CF:CCHW","Canadian Securities Exchange","Consumer Discretionary","Drug Manufacturers—Specialty & Generic","$1,284,479,941","367,825","Analyze"
"WDOFF","WESDOME GOLD MINES LTD","","","Unknown","","$1,251,742,276","0","Analyze"
"KNTNF","K92 Mining Inc.","CV:KNT","TSX Venture Exchange","Materials","Gold","$1,238,915,588","82,490","Analyze"
"ARESF","Artis Real Estate Investment Trust","CT:AX-UN","Toronto Stock Exchange","Real Estate","REIT—Diversified","$1,191,915,752","1,400","Analyze"
"SLSSF","Solaris Resources Inc.","CT:SLS","Toronto Stock Exchange","Materials","Other Precious Metals & Mining","$1,167,323,012","0","Analyze"
"TRSSF","TerrAscend Corp.","CF:TER","Canadian Securities Exchange","Unknown","Drug Manufacturers—Specialty & Generic","$1,123,976,673","93,983","Analyze"
"AYRWF","Ayr Strategies Inc.","CF:AYR","Canadian Securities Exchange","Consumer Discretionary","Drug Manufacturers—Specialty & Generic","$1,114,302,220","0","Analyze"
"FLMMF","Filo Mining Corp","CT:FIL","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$1,024,211,763","10,700","Analyze"
"RECAF","Reconnaissance Energy Africa Ltd.","CV:RECO","TSX Venture Exchange","Energy","Oil & Gas E&P","$930,232,380","463,557","Analyze"
"VITFF","Victoria Gold Corp","CT:VGCX","Toronto Stock Exchange","Materials","Gold","$925,462,618","66,532","Analyze"
"HRVSF","Harvest Health & Recreation Inc.","CF:HARV","Canadian Securities Exchange","Unknown","Drug Manufacturers—Specialty & Generic","$877,002,243","281,483","Analyze"
"NNXPF","NanoXplore Inc.","CV:GRA","TSX Venture Exchange","Unknown","Chemicals","$864,555,703","14,112","Analyze"
"PLNHF","Planet 13 Holdings Inc.","CF:PLTH","Canadian Securities Exchange","Consumer Discretionary","Drug Manufacturers—Specialty & Generic","$859,233,205","325,528","Analyze"
"GTBAF","Great Bear Resources Ltd. Class A","CV:GBR","TSX Venture Exchange","Unknown","Other Industrial Metals & Mining","$771,570,366","10,947","Analyze"
"ABSSF","AirBoss of America Corp","CT:BOS","Toronto Stock Exchange","Materials","Specialty Chemicals","$745,373,815","0","Analyze"
"JUSHF","Jushi Holdings Inc Class B","CF:JUSH","Canadian Securities Exchange","Consumer Discretionary","Drug Manufacturers—Specialty & Generic","$734,754,811","566,393","Analyze"
"NTTHF","Neo Lithium Corp.","CV:NLC","TSX Venture Exchange","Unknown","Other Industrial Metals & Mining","$718,539,683","333,081","Analyze"
"RUPRF","RUPERT RESOURCES LTD","","","Unknown","","$708,669,044","4,129","Analyze"
"GLGDF","Gogold Resources Inc.","CT:GGD","Toronto Stock Exchange","Materials","Other Precious Metals & Mining","$705,462,437","75,896","Analyze"
"PKKFF","Peak Fintech Group Inc.","CF:PKK","Canadian Securities Exchange","Information Technology","Information Technology Services","$660,830,496","0","Analyze"
"SKREF","Skeena Resources Limited","CV:SKE","TSX Venture Exchange","Unknown","Other Industrial Metals & Mining","$659,493,574","11,060","Analyze"
"GRAMF","TPCO Holding Corp","","","Consumer Discretionary","Drug Manufacturers—Specialty & Generic","$615,343,132","72,951","Analyze"
"FCUUF","Fission Uranium Corp.","CV:FCU","TSX Venture Exchange","Energy","Uranium","$596,548,912","271,514","Analyze"
"FFNTF","4Front Ventures Corp.","CF:FFNT","Canadian Securities Exchange","Consumer Discretionary","Drug Manufacturers—Specialty & Generic","$590,476,373","980,064","Analyze"
"MGDPF","Marathon Gold Corporation","CV:MOZ","TSX Venture Exchange","Materials","Gold","$586,518,516","162,025","Analyze"
"CNNEF","Canacol Energy Ltd.","CT:CNE","Toronto Stock Exchange","Energy","Oil & Gas E&P","$558,502,894","9,087","Analyze"
"GLATF","Global Atomic Corporation","CT:GLO","Toronto Stock Exchange","Unknown","Other Industrial Metals & Mining","$553,050,077","127,309","Analyze"
"ATUSF","Altius Minerals Corporation","CT:ALS","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$550,341,226","17,002","Analyze"
"BDRAF","Bombardier Inc. Class A","CT:BBD-A","Toronto Stock Exchange","Unknown","Aerospace & Defense","$531,024,078","47,261","Analyze"
"KRRGF","Karora Resources Inc","CT:KRR","Toronto Stock Exchange","Materials","Gold","$507,288,494","0","Analyze"
"IAUCF","I-80 GOLD CORP F","","","Unknown","","$497,860,491","14,814","Analyze"
"LIACF","American Lithium Corp.","CV:LI","TSX Venture Exchange","Materials","Other Industrial Metals & Mining","$482,581,580","357,469","Analyze"
"SGSVF","Sabina Gold & Silver Corp.","CT:SBB","Toronto Stock Exchange","Materials","Gold","$454,742,779","333,515","Analyze"
"CLXPF","CYBIN INC","","","Unknown","","$449,795,819","0","Analyze"
"RCKTF","ROCK TECH LINTHIUM INC","","","Unknown","","$448,841,111","26,832","Analyze"
"CXBMF","Calibre Mining Corp.","CT:CXB","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$448,508,616","59,592","Analyze"
"ORRCF","Oroco Resource Corp","CV:OCO","TSX Venture Exchange","Materials","Other Industrial Metals & Mining","$437,286,182","88,975","Analyze"
"JOSMF","JOSEMARIA RES INC","","","Unknown","","$422,008,479","0","Analyze"
"DSVSF","DISCOVERY SILVER CORP","","","Unknown","","$406,448,563","224,791","Analyze"
"NSRXF","Nomad Royalty Company Ltd.","CT:NSR","Toronto Stock Exchange","Materials","Other Precious Metals & Mining","$400,719,121","0","Analyze"
"TPRFF","Gran Colombia Gold Corp.","CV:GCM","TSX Venture Exchange","Materials","Gold","$396,897,673","86,427","Analyze"
"ISENF","IsoEnergy Ltd.","CV:ISO","TSX Venture Exchange","Energy","Uranium","$386,159,720","48,216","Analyze"
"PRMNF","Prime Mining Corp.","CV:PRYM","TSX Venture Exchange","Materials","Other Industrial Metals & Mining","$383,329,029","814","Analyze"
"XEBEF","Xebec Adsorption Inc.","CV:XBC","TSX Venture Exchange","Industrials","Specialty Industrial Machinery","$380,600,701","14,639","Analyze"
"AOTVF","Ascot Resources Ltd.","CT:AOT","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$367,974,198","89,253","Analyze"
"VXTRF","VOXTUR ANALYTICS CORP","","","Unknown","","$367,813,457","0","Analyze"
"CWEGF","CREW ENERGY INC","","","Unknown","","$360,126,192","0","Analyze"
"FMCXF","FORAN MINING CORP","","","Unknown","","$333,573,861","7,253","Analyze"
"ORZCF","Orezone Gold Corporation","CV:ORE","TSX Venture Exchange","Materials","Gold","$322,660,265","100,179","Analyze"
"NSRPF","Novo Resources Corp.","CV:NVO","TSX Venture Exchange","Materials","Gold","$320,371,968","164,955","Analyze"
"EXCOF","EXCO TECHS LTD","","","Unknown","","$318,483,731","0","Analyze"
"ESKYF","ESKAY MINING CORP","","","Materials","","$317,017,834","0","Analyze"
"ENCUF","enCore Energy Corp.","CV:EU","TSX Venture Exchange","Materials","Uranium","$316,468,159","346,250","Analyze"
"VLNCF","Valens GroWorks Corp.","CV:VLNS","TSX Venture Exchange","Unknown","Drug Manufacturers—Specialty & Generic","$315,981,489","293,115","Analyze"
"VIZSF","Vizsla Resources Corp.","","","Unknown","Other Industrial Metals & Mining","$308,591,313","245,976","Analyze"
"TOBAF","TAAT LIFESTYLE & WELLNESS","","","Unknown","","$306,028,056","0","Analyze"
"AZMCF","ARIZONA METALS CORP","","","Unknown","","$299,515,444","0","Analyze"
"POETF","POET Technologies Inc.","CV:PTK","TSX Venture Exchange","Information Technology","Semiconductors","$288,835,811","408,593","Analyze"
"ATBYF","ABITIBI ROYALTIES INC ORD","","","Unknown","","$288,636,364","0","Analyze"
"MLNLF","Millennial Lithium Corp.","CV:ML","TSX Venture Exchange","Materials","Other Industrial Metals & Mining","$286,733,902","29,861","Analyze"
"OBELF","Obsidian Energy Ltd","","","Energy","Oil & Gas E&P","$283,692,404","170,122","Analyze"
"OPSSF","Opsens Inc.","CT:OPS","Toronto Stock Exchange","Health Care","Scientific & Technical Instruments","$269,717,315","52,245","Analyze"
"EXROF","Exro Technologies Inc.","CV:EXRO","TSX Venture Exchange","Industrials","Electrical Equipment & Parts","$266,125,230","612,692","Analyze"
"FOBIF","FOBI AI INC","","","Unknown","","$265,994,395","86,384","Analyze"
"SEOVF","Sernova Corp.","CV:SVA","TSX Venture Exchange","Health Care","Medical Devices","$264,535,624","34,720","Analyze"
"QTRHF","Quarterhill Inc","CT:QTRH","Toronto Stock Exchange","Information Technology","Communication Equipment","$261,186,676","5,082","Analyze"
"NSRCF","NextSource Materials Inc","CT:NEXT","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$254,181,296","292,927","Analyze"
"CWBHF","Charlottes Web Holdings Inc.","CT:CWEB","Toronto Stock Exchange","Health Care","Drug Manufacturers—Specialty & Generic","$251,728,222","553,624","Analyze"
"VRYYF","The Very Good Food Company Inc","CF:VERY","Canadian Securities Exchange","Consumer Staples","Packaged Foods","$248,161,673","0","Analyze"
"CWSFF","Cielo Waste Solutions Corp.","","","Unknown","Waste Management","$244,939,995","651,114","Analyze"
"JAGGF","JAGUAR MINING INC","","","Materials","","$243,398,303","34,606","Analyze"
"VSBGF","VSBLTY GROUPE TECH","","","Unknown","","$238,112,270","616,146","Analyze"
"NOVRF","NOVA ROYALTY CORP","","","Unknown","","$236,934,915","271,042","Analyze"
"MLYF","Western Magnesium Corp.","CV:WMG","TSX Venture Exchange","Materials","Other Industrial Metals & Mining","$235,487,308","250,015","Analyze"
"CRECF","Critical Elements Lithium Corporation","CV:CRE","TSX Venture Exchange","Materials","Other Industrial Metals & Mining","$234,818,199","59,489","Analyze"
"CERAF","CERES Acquisition Corp Class A","","","Financials","Shell Companies","$234,360,000","5,576","Analyze"
"FFLWF","Fire & Flower Holdings Corp.","CT:FAF","Toronto Stock Exchange","Unknown","Pharmaceutical Retailers","$230,925,774","77,454","Analyze"
"BSXGF","BELO SUN MINING CORP ORD","","","Unknown","","$229,802,900","574,767","Analyze"
"ATRWF","ALTIUS RENEWABLE ROYALTIS","","","Unknown","","$226,402,098","2,811","Analyze"
"UEXCF","UEX CORP","","","Energy","","$225,284,582","375,670","Analyze"
"PHXHF","PHX ENERGY SERVICES CORP","","","Unknown","","$219,517,316","838","Analyze"
"LGDTF","LIBERTY GOLD CORP ORD","","","Materials","","$218,446,039","250,116","Analyze"
"ARREF","Amerigo Resources Ltd","CT:ARG","Toronto Stock Exchange","Materials","Copper","$216,404,633","8,915","Analyze"
"GVXXF","GoviEx Uranium Inc Class A","","","Unknown","Uranium","$215,043,178","60,738","Analyze"
"NIOBF","NioCorp Developments Ltd.","CV:NB","TSX Venture Exchange","Materials","Other Industrial Metals & Mining","$212,120,313","830,650","Analyze"
"MAKOF","Mako Mining Corp.","CV:MKO","TSX Venture Exchange","Materials","Gold","$210,978,875","106,022","Analyze"
"ALVOF","Alvopetro Energy Ltd.","CV:ALV","TSX Venture Exchange","Energy","Oil & Gas E&P","$209,798,266","124,000","Analyze"
"MAIFF","MINERA ALAMOS INC","","","Materials","","$207,575,949","87,019","Analyze"
"CNIKF","CANADA NICKEL CO INC","","","Unknown","","$207,181,770","0","Analyze"
"BRGGF","Bragg Gaming Group Inc.","CV:BRAG","TSX Venture Exchange","Unknown","Electronic Gaming & Multimedia","$207,068,689","49,331","Analyze"
"REEMF","Rare Element Resources Ltd.","","","Materials","Other Industrial Metals & Mining","$206,653,085","176,429","Analyze"
"CHPGF","Chesapeake Gold Corp.","CV:CKG","TSX Venture Exchange","Materials","Other Precious Metals & Mining","$205,468,941","11,948","Analyze"
"PROBF","Probe Metals Inc.","CV:PRB","TSX Venture Exchange","Materials","Gold","$203,911,288","64,689","Analyze"
"TREVF","Trevali Mining Corporation","CT:TV","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$202,664,866","32,593","Analyze"
"THBRF","THUNDERBIRD ENTRTNMT GRP","","","Unknown","","$198,547,576","31,743","Analyze"
"BBSRF","Bluestone Resources Inc.","CV:BSR","TSX Venture Exchange","Unknown","Other Industrial Metals & Mining","$197,173,104","35,545","Analyze"
"CYDVF","Cypress Development Corp.","","","Materials","Other Industrial Metals & Mining","$193,271,846","127,909","Analyze"
"ABXXF","ABAXX TECHNOLOGIES INC","","","Unknown","","$192,276,347","0","Analyze"
"AMXEF","Amex Exploration Inc.","CV:AMX","TSX Venture Exchange","Materials","Gold","$189,762,640","175,106","Analyze"
"GENGF","GEAR ENERGY LTD","","","Energy","","$186,724,467","570,430","Analyze"
"TAKOF","Drone Delivery Canada Corp","CV:FLT","TSX Venture Exchange","Unknown","Computer Hardware","$186,085,180","85,325","Analyze"
"ABBRF","ABRASILVER RESOURCE CORP","","","Unknown","","$185,583,084","0","Analyze"
"BBKCF","BIGG Digital Assets Inc.","CF:BIGG","Canadian Securities Exchange","Financials","Capital Markets","$183,640,869","17,316,515","Analyze"
"ELRRF","Eloro Resources Ltd","CV:ELO","TSX Venture Exchange","Materials","Gold","$183,161,923","75,029","Analyze"
"MNDJF","Mandalay Resources Corporation","CT:MND","Toronto Stock Exchange","Materials","Gold","$183,052,353","13,930","Analyze"
"CBULF","GRATOMIC INC","","","Unknown","","$176,664,299","60,809","Analyze"
"HPQFF","HPQ-SILICON RES INC","","","Unknown","","$174,175,819","28,271","Analyze"
"GDRZF","Gold Reserve Inc. Class A","CV:GRZ","TSX Venture Exchange","Materials","Gold","$173,941,334","28,828","Analyze"
"FFMGF","First Mining Gold Corp.","CT:FF","Toronto Stock Exchange","Materials","Gold","$171,042,697","1,391,291","Analyze"
"ALLXF","ARIS GOLD CORP","","","Unknown","","$168,156,187","0","Analyze"
"HEOFF","H2O Innovation Inc.","CV:HEO","TSX Venture Exchange","Industrials","Utilities—Regulated Water","$165,578,109","37,864","Analyze"
"SRAFF","Sandfire Resources America Inc.","CV:SFR","TSX Venture Exchange","Materials","Other Industrial Metals & Mining","$164,743,700","246,054","Analyze"
"CBWTF","Auxly Cannabis Group Inc.","CV:XLY","TSX Venture Exchange","Health Care","Drug Manufacturers—Specialty & Generic","$162,887,409","1,195,834","Analyze"
"ISRJF","GEN III Oil Corporation","","","Unknown","Oil & Gas Refining & Marketing","$161,105,969","4,800","Analyze"
"ACRHF","Acreage Holdings, Inc. Class E","","","Consumer Discretionary","Drug Manufacturers—Specialty & Generic","$159,482,585","0","Analyze"
"GASXF","NG ENERGY INTL CORP","","","Unknown","","$159,378,179","0","Analyze"
"EFLVF","Electrovaya Inc.","CT:EFL","Toronto Stock Exchange","Industrials","Electrical Equipment & Parts","$158,054,003","215,682","Analyze"
"AAZZF","A2Z SMART TECHNOLOGIES","","","Unknown","","$157,509,903","8,680","Analyze"
"LEMLF","LEAF MOBILE INC","","","Unknown","","$157,107,232","0","Analyze"
"DMGGF","DMG Blockchain Solutions Inc.","CV:DMGI","TSX Venture Exchange","Information Technology","Software—Application","$156,873,782","6,798,328","Analyze"
"ERLFF","Entree Resources Ltd","","","Materials","Other Industrial Metals & Mining","$156,693,587","40,073","Analyze"
"EUMNF","EURO MANAGANESE INC","","","Unknown","","$155,825,154","6,987","Analyze"
"LMGDF","Lumina Gold Corp.","CV:LUM","TSX Venture Exchange","Materials","Gold","$153,753,004","277,550","Analyze"
"LITOF","FRONTIER LITHIUM ORD","","","Unknown","","$153,645,255","45,546","Analyze"
"TREIF","TREATMENT COM INTL INC","","","Unknown","","$151,008,128","0","Analyze"
"AUNFF","AURCANA SILVER CORP","","","Unknown","","$150,784,676","0","Analyze"
"BABYF","Else Nutrition Holdings Inc","CV:BABY","TSX Venture Exchange","Consumer Staples","Packaged Foods","$150,661,127","121,649","Analyze"
"ALMTF","Almonty Industries Inc.","CT:ALL","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$150,475,983","0","Analyze"
"MDEX","Madison Technologies Inc.","","","Unknown","Aerospace & Defense","$146,806,348","36,180","Analyze"
"ANPMF","ANDEAN PRECIOUS METALS CP","","","Unknown","","$146,028,450","0","Analyze"
"ACHFF","Arch Biopartners Inc.","","","Health Care","Biotechnology","$144,991,787","0","Analyze"
"BNXAF","BANXA HLDGS INC","","","Unknown","","$144,812,308","40,717","Analyze"
"GLVMF","Golden Valley Mines Ltd.","CV:GZZ","TSX Venture Exchange","Materials","Other Industrial Metals & Mining","$144,404,209","18,236","Analyze"
"AMYZF","American Manganese Inc","","","Unknown","","$144,260,699","684,457","Analyze"
"LMRXF","LARAMIDE RESOURCE LTD","","","Unknown","","$143,818,156","0","Analyze"
"NVACF","NOVA CANNABIS INC","","","Unknown","","$142,247,030","0","Analyze"
"RWBYF","RED WHITE & BLOOM BRANDS","","","Unknown","","$140,776,316","0","Analyze"
"CPFXF","COPPER FOX METALS INC","","","Unknown","","$139,695,435","0","Analyze"
"INNPF","INNOCAN PHARMA CORP.","","","Unknown","","$139,417,423","0","Analyze"
"LOMLF","Lion One Metals Limited","CV:LIO","TSX Venture Exchange","Materials","Gold","$139,325,354","78,450","Analyze"
"MMNFF","MedMen Enterprises Inc. Class B","CF:MMEN","Canadian Securities Exchange","Health Care","Drug Manufacturers—Specialty & Generic","$138,095,005","2,793,073","Analyze"
"MGROF","MustGrow Biologics Corp.","","","Unknown","Agricultural Inputs","$137,515,559","1,055","Analyze"
"FGOVF","FREEGOLD VENTURES LTD","","","Materials","","$136,960,240","0","Analyze"
"AZZUF","Azarga Uranium Corp. Class A","","","Energy","Uranium","$136,338,062","27,983","Analyze"
"BCEKF","Bear Creek Mining Corporation","CV:BCM","TSX Venture Exchange","Materials","Other Industrial Metals & Mining","$135,457,714","82,884","Analyze"
"HSSHF","Digihost Technology Inc.","CV:DGHI","TSX Venture Exchange","Communication Services","Software-Application","$135,159,896","91,664","Analyze"
"CHXMF","Troilus Gold Corp.","CT:TLG","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$134,873,579","146,819","Analyze"
"BNCHF","BENCHMARK METALS INC","","","Unknown","","$133,938,365","0","Analyze"
"PCLOF","PharmaCielo Ltd.","CV:PCLO","TSX Venture Exchange","Unknown","Drug Manufacturers—Specialty & Generic","$133,830,380","190,116","Analyze"
"DMEHF","DESERT MTN ENERGY CORP","","","Unknown","","$133,550,827","20,001","Analyze"
"MEAUF","MONETA PORCUPINE MINES","","","Unknown","","$132,758,089","0","Analyze"
"RIOFF","Rio2 Ltd.","CV:RIO","TSX Venture Exchange","Unknown","Gold","$131,821,616","114,356","Analyze"
"NEXCF","NexTech AR Solutions Corp.","CF:NTAR","Canadian Securities Exchange","Consumer Discretionary","Internet Retail","$131,782,519","1,250,585","Analyze"
"NKOSF","LABRADOR GOLD CORP","","","Unknown","","$129,797,649","218,178","Analyze"
"SLVTF","SILVER TIGER METALS INC","","","Unknown","","$128,315,372","0","Analyze"
"FTSSF","First Cobalt Corp.","CV:FCC","TSX Venture Exchange","Materials","Other Industrial Metals & Mining","$126,574,782","637,183","Analyze"
"GDNSF","Goodness Growth Holdings, Inc.","","","Unknown","Drug Manufacturers-Specialty & Generic","$125,304,763","226,122","Analyze"
"VQSLF","VIQ Solutions Inc.","CV:VQS","TSX Venture Exchange","Information Technology","Software—Application","$123,224,138","3,425","Analyze"
"VOXCF","VOX ROYALTY CORP","","","Unknown","","$121,232,302","0","Analyze"
"PWWBF","Powerband Solutions Inc.","","","Unknown","Software—Application","$120,533,901","44,988","Analyze"
"BILZF","Ignite International Brands Ltd","CF:BILZ","Canadian Securities Exchange","Unknown","Drug Manufacturers—Specialty & Generic","$118,842,345","36,657","Analyze"
"TLLTF","TILT Holdings Inc.","CF:TILT","Canadian Securities Exchange","Unknown","Drug Manufacturers—Specialty & Generic","$117,565,917","441,696","Analyze"
"FUNFF","FANSUNITE ENTERTAINMENT","","","Unknown","","$116,422,529","0","Analyze"
"TSLVF","TIER ONE SILVER INC","","","Unknown","","$115,605,510","218,678","Analyze"
"WMLLF","Wealth Minerals Ltd.","CV:WML","TSX Venture Exchange","Unknown","Other Industrial Metals & Mining","$114,000,493","306,095","Analyze"
"ROMJF","Rubicon Organics Inc.","CF:ROMJ","Canadian Securities Exchange","Unknown","Drug Manufacturers—Specialty & Generic","$113,646,154","3,681","Analyze"
"RVVTF","Revive Therapeutics Ltd","CF:RVV","Canadian Securities Exchange","Health Care","Drug Manufacturers-Specialty & Generic","$113,251,047","513,460","Analyze"
"WSTRF","Western Uranium & Vanadium Corp.","CF:WUC","Canadian Securities Exchange","Unknown","Uranium","$113,135,098","79,456","Analyze"
"TAALF","TAAL DISTRIBUTD INFO TECH","","","Unknown","","$112,440,433","0","Analyze"
"SPOFF","GOLDSPOT DISCOVERIES CORP","","","Unknown","","$111,038,442","84,381","Analyze"
"MMRGF","Minaurum Gold Inc.","CV:MGG","TSX Venture Exchange","Materials","Gold","$110,698,324","104,275","Analyze"
"EPWCF","Empower Clinics Inc","CF:CBDT","Canadian Securities Exchange","Communication Services","Medical Care Facilities","$109,182,560","80,625","Analyze"
"EXMGF","Excelsior Mining Corp.","CV:MIN","TSX Venture Exchange","Unknown","Other Industrial Metals & Mining","$108,723,316","142,500","Analyze"
"AHCCF","APOLLO HLTHCRE CP A","","","Unknown","","$108,501,222","500","Analyze"
"DNCVF","DEFIANCE SILVER CORP","","","Unknown","","$108,492,252","0","Analyze"
"BGPPF","BGP ACQUISITION CORP A","","","Financials","Shell Companies","$108,100,000","0","Analyze"
"OIIIF","O3 MINING INC","","","Unknown","","$107,693,494","14,675","Analyze"
"GMTNF","GOLD MTN MNG CORP","","","Unknown","","$105,487,546","21,597","Analyze"
"PKANF","SIMPLY BETTER BRANDS CORP","","","Unknown","","$104,400,801","0","Analyze"
"NXOPF","Nexoptic Technology Corp","CV:NXO","TSX Venture Exchange","Information Technology","Electronic Components","$104,322,282","182,122","Analyze"
"ADVZF","Adventus Mining Corp.","CV:ADZN","TSX Venture Exchange","Materials","Other Industrial Metals & Mining","$103,863,975","13,860","Analyze"
"FIOGF","Fiore Gold Ltd.","","","Materials","Gold","$100,672,266","92,463","Analyze"
"LOVFF","Cannara Biotech Inc.","","","Unknown","Drug Manufacturers—Specialty & Generic","$100,532,408","15,056","Analyze"
"OSIIF","OSINO RESOURCES CORP","","","Unknown","","$99,792,813","0","Analyze"
"ATLYF","ALTALEY MINING CORP","","","Unknown","","$98,926,076","0","Analyze"
"CRTPF","Cardiol Therapeutics Inc. Class A","CT:CRDL","Toronto Stock Exchange","Unknown","Drug Manufacturers—Specialty & Generic","$98,777,166","65,025","Analyze"
"GPHOF","Graphite One Inc.","","","Materials","Other Industrial Metals & Mining","$98,187,593","15,216","Analyze"
"KTYCF","KITS EYECARE LTD","","","Unknown","","$98,043,385","5,395","Analyze"
"CURUF","CONSOLIDATED URANIUM INC","","","Unknown","","$97,226,520","58,529","Analyze"
"CNTMF","Cansortium Inc.","","","Consumer Discretionary","Drug Manufacturers—Specialty & Generic","$95,196,979","122,323","Analyze"
"IPOOF","InPlay Oil Corp.","CT:IPO","Toronto Stock Exchange","Energy","Oil & Gas E&P","$94,928,126","8,232","Analyze"
"KNRLF","Kontrol Energy Corp.","CF:KNR","Canadian Securities Exchange","Information Technology","Information Technology Services","$94,222,230","32,839","Analyze"
"NTSFF","Nanotech Security Corp.","CV:NTS","TSX Venture Exchange","Industrials","Scientific & Technical Instruments","$93,848,963","48,595","Analyze"
"APGOF","APOLLO GOLD & SILVER CORP","","","Unknown","","$93,830,049","0","Analyze"
"BKRRF","BLACKROCK GOLD CORP ORD","","","Unknown","","$91,712,908","359,957","Analyze"
"CRDOF","CERRADO GOLD INC","","","Unknown","","$90,081,954","15,602","Analyze"
"MGMLF","Maple Gold Mines Ltd","","","Materials","Gold","$89,982,322","168,786","Analyze"
"QYOUF","QYOU Media Inc.","","","Communication Services","Entertainment","$89,071,882","72,530","Analyze"
"ANXGF","Anaconda Mining Inc.","CT:ANX","Toronto Stock Exchange","Materials","Gold","$88,721,531","90,648","Analyze"
"GSVRF","GUANAJUATO SILVER CO LTD","","","Unknown","","$87,233,284","512,446","Analyze"
"SSVFF","Southern Silver Exploration Corp.","","","Unknown","Other Precious Metals & Mining","$86,195,757","238,603","Analyze"
"FDVRF","Facedrive Inc.","CV:FD","TSX Venture Exchange","Information Technology","Software—Application","$85,637,925","24,973","Analyze"
"SROYF","Sailfish Royalty Corp.","CV:FISH","TSX Venture Exchange","Materials","Gold","$85,528,574","222","Analyze"
"RGLSF","REGULUS RES INC","","","Materials","","$85,472,389","9,204","Analyze"
"AUGG","AUGUSTA GOLD CORP","","","Unknown","","$85,271,447","700","Analyze"
"BMBIF","BRIGHT MINDS BIOSCIENCES","","","Unknown","","$85,071,304","11,470","Analyze"
"CYSNF","C-COM SATELLITE SYS INC","","","Information Technology","","$85,021,440","22,656","Analyze"
"BONXF","BonTerra Resources Inc.","CV:BTR","TSX Venture Exchange","Materials","Gold","$84,465,735","39,831","Analyze"
"GENMF","GENERATION MINING LTD","","","Unknown","","$83,702,251","0","Analyze"
"NGENF","NervGen Pharma Corp.","CV:NGEN","TSX Venture Exchange","Health Care","Biotechnology","$83,446,954","64,774","Analyze"
"SLVRF","Silver One Resources Inc.","CV:SVE","TSX Venture Exchange","Materials","Silver","$82,470,728","197,223","Analyze"
