"Symbol","Name","Index Country","Country of incorporation","GICS Sector","Foreign issuer?","Russell 3000?","Market cap","Average Volume","Action"
"AGRO","Adecoagro Sa","Luxembourg","USA","Consumer Staples","Yes","No","$1,220,036,641","918,026","Analyze"
"PSFE","Paysafe Limited","Bermuda","Bermuda","Information Technology","Yes","Yes","$1,210,302,596","6,384,307","Analyze"
"SNDL","Sundial Growers Inc.","Canada","","Health Care","Yes","No","$1,194,200,599","70,133,470","Analyze"
"HVBT","Hive Blockchain Technologies Ltd.","Canada","","Financials","Yes","No","$1,172,199,583","5,519,566","Analyze"
"NNOX","Nano-X Imaging Ltd.","Israel","Israel","Health Care","Yes","No","$1,112,439,737","586,998","Analyze"
"MNMD","Mind Medicine (MindMed) Inc.","Canada","Canada","Health Care","Yes","Yes","$1,105,961,437","3,458,861","Analyze"
"OEC","Orion Engineered Carbons S.A","Luxembourg","Luxembourg","Materials","No","Yes","$1,099,888,098","317,434","Analyze"
"SOPH","Sophia Genetics SA","Switzerland","","Health Care","Yes","No","$1,094,482,558","56,072","Analyze"
"GB","Global Blue Group Holding AG","Switzerland","","Information Technology","Yes","No","$1,088,625,821","18,063","Analyze"
"WILC","G. Willi-Food International,  Ltd.","Israel","","Consumer Staples","Yes","No","$1,081,250,000","4,942","Analyze"
"AUDC","Audiocodes Ltd.","Israel","Israel","Information Technology","Yes","No","$1,071,631,745","100,462","Analyze"
"TGLS","Tecnoglass Inc","Colombia","Cayman Islands","Industrials","No","No","$1,056,472,970","240,155","Analyze"
"NTP","Nam Tai Property Inc","China","British Virgin Islands","Real Estate","Yes","No","$1,050,506,159","78,501","Analyze"
"AZRE","Azure Power Global Limited Equity Shares","India","Mauritius","Utilities","Yes","No","$1,043,442,577","209,137","Analyze"
"SFL","Ship Finance International Ltd","Bermuda","Bermuda","Energy","Yes","Yes","$1,033,969,355","875,218","Analyze"
"BROG","Brooge Energy Limited","United Arab Emirates","","Energy","Yes","No","$1,030,114,869","4,469","Analyze"
"CZOO","Cazoo Group Ltd Class A","United Kingdom","","Information Technology","Yes","No","$1,012,182,198","497,276","Analyze"
"GHRS","GH Research PLC","Ireland","","Health Care","Yes","No","$1,011,281,588","31,441","Analyze"
"NGMS","NeoGames S.A.","Luxembourg","Luxembourg","Consumer Discretionary","Yes","Yes","$978,207,128","311,938","Analyze"
"MRUS","Merus N.V.","The Netherlands","The Netherlands","Health Care","No","No","$968,101,347","103,163","Analyze"
"KARO","Karooooo Ltd.","Singapore","Sweden","Information Technology","Yes","No","$965,674,507","7,136","Analyze"
"AFYA","Afya Limited - Class A","Brazil","","Consumer Staples","Yes","No","$959,541,088","106,341","Analyze"
"STNG","Scorpio Tankers Inc","Monaco","Marshall Islands","Energy","Yes","Yes","$946,918,296","659,484","Analyze"
"CAAP","Corporacion America Airports SA","Argentina","Luxembourg","Industrials","Yes","No","$922,208,295","93,578","Analyze"
"FLNG","FLEX LNG Ltd.","Bermuda","Bermuda","Energy","Yes","No","$911,041,600","65,912","Analyze"
"BITF","Bitfarms Ltd.","Canada","","Financials","Yes","No","$910,881,687","6,569,538","Analyze"
"IMTX","Immatics N.V.","Germany","","Health Care","Yes","No","$910,287,688","155,524","Analyze"
"GSL","Global Ship Lease Inc New Class A","Marshall Islands","","Industrials","Yes","No","$897,290,164","895,764","Analyze"
"PAX","Patria Investments Ltd","Cayman Islands","","Financials","Yes","No","$889,582,500","218,479","Analyze"
"BYSI","Beyondspring Inc.","China","Cayman Islands","Health Care","Yes","Yes","$880,286,775","2,100,720","Analyze"
"BBAR","BBVA Banco Frances S.A.","Argentina","USA","Financials","Yes","No","$869,976,685","798,114","Analyze"
"INVZ","Innoviz Technologies Ltd.","Israel","","Consumer Discretionary","Yes","No","$853,043,095","592,422","Analyze"
"LGO","Largo Resources Ltd.","Canada","Canada","Materials","Yes","No","$829,183,934","109,316","Analyze"
"DESP","Despegar.Com Corp.","Argentina","British Virgin Islands","Consumer Discretionary","Yes","No","$822,966,111","449,088","Analyze"
"NYXH","Nyxoah SA","Belgium","","Health Care","Yes","No","$782,710,656","5,917","Analyze"
"TNT","Peak Fintech Group Inc.","Canada","","Information Technology","Yes","No","$776,156,599","400,421","Analyze"
"VINP","Vinci Partners Investments Ltd.","Brazil","","Financials","Yes","No","$763,339,143","88,731","Analyze"
"MANU","Manchester United Ltd. Class A","United Kingdom","","Consumer Discretionary","Yes","No","$761,740,440","670,236","Analyze"
"GPRK","Geopark Ltd","Chile","","Energy","Yes","No","$728,695,478","134,641","Analyze"
"ARCE","Arco Platform Limited - Class A","Brazil","","Information Technology","Yes","No","$704,256,061","244,163","Analyze"
