"Symbol","Name","Index Country","Country of incorporation","Cross-list symbol","Cross-list exchange","Foreign filer?","GICS Sector","Market cap","Average Volume","Action"
"CPG","Crescent Point Energy Corporation","Canada","Canada","CT:CPG","Toronto Stock Exchange","Yes","Consumer Discretionary","$2,886,653,377","4,277,269","Analyze"
"CPMMF","Crystal Peak Minerals Inc.","Canada","","CV:CPM","TSX Venture Exchange","No","Materials","$2,815,846","0","Analyze"
"CRECF","Critical Elements Lithium Corporation","Canada","","CV:CRE","TSX Venture Exchange","No","Materials","$234,818,199","59,489","Analyze"
"CRHCF","CRH plc","Ireland","","LN:CRH","London Stock Exchange","No","Materials","$37,001,925,138","0","Analyze"
"CRLBF","Cresco Labs Inc.","Canada","","CF:CL","Canadian Securities Exchange","No","Consumer Discretionary","$1,828,059,789","374,824","Analyze"
"CRON","Cronos Group Inc.","Canada","Canada","CT:CRON","Toronto Stock Exchange","No","Health Care","$2,168,795,878","1,972,375","Analyze"
"CRPOF","Ceapro Inc.","Canada","","CV:CZO","TSX Venture Exchange","No","Materials","$3,884,272","1,126","Analyze"
"CRSXF","Corsa Coal Corp.","Canada","","CV:CSO","TSX Venture Exchange","No","Materials","$80,678,489","122,550","Analyze"
"CRTPF","Cardiol Therapeutics Inc. Class A","Canada","","CT:CRDL","Toronto Stock Exchange","No","Unknown","$98,777,166","65,025","Analyze"
"CSGKF","Credit Suisse Group AG","Switzerland","","VX:CSGN","Six Swiss - Blue Chips Segment","No","Financials","$28,097,925,832","0","Analyze"
"CTARF","Centaurus Energy Inc.","Canada","","CV:CTA","TSX Venture Exchange","No","Energy","$8,160,889","37,409","Analyze"
"CTSDF","Converge Technology Solutions Corp.","Canada","","CT:CTS","Toronto Stock Exchange","No","Information Technology","$1,830,980,955","26,981","Analyze"
"CTVEF","Certive Solutions Inc.","Canada","","CF:CBP","Canadian Securities Exchange","No","Health Care","$7,220,235","1,000","Analyze"
"CUKPF","Carnival PLC","United Kingdom","United Kingdom","LN:CCL","London Stock Exchange","Yes","Consumer Discretionary","$187,707,200","2,429","Analyze"
"CURLF","Curaleaf Holdings Inc.","Canada","","CF:CURA","Canadian Securities Exchange","No","Consumer Discretionary","$6,567,095,861","305,473","Analyze"
"CVALF","Covalon Technologies Ltd.","Canada","","CV:COV","TSX Venture Exchange","No","Health Care","$52,875,576","600","Analyze"
"CVE","Cenovus Energy Inc","Canada","Canada","CT:CVE","Toronto Stock Exchange","Yes","Energy","$23,363,117,068","10,340,592","Analyze"
"CWBHF","Charlottes Web Holdings Inc.","Canada","","CT:CWEB","Toronto Stock Exchange","No","Health Care","$251,728,222","553,624","Analyze"
"CXBMF","Calibre Mining Corp.","Canada","","CT:CXB","Toronto Stock Exchange","No","Materials","$448,508,616","59,592","Analyze"
"CXXIF","C21 Investments Inc","Canada","","CF:CXXI","Canadian Securities Exchange","No","Consumer Discretionary","$74,811,123","62,810","Analyze"
"CYBN","Cybin Inc.","Canada","","QF:CYBN","Aequitas NEO Exchange (Lit Book)","Yes","Health Care","$341,408,896","1,174,981","Analyze"
"DB","Deutsche Bank AG","Germany","Germany","GF:DBK","Frankfurt Stock Exchange","Yes","Financials","$27,612,089,030","3,778,713","Analyze"
"DCBO","Docebo Inc.","Canada","","CT:DCBO","Toronto Stock Exchange","Yes","Information Technology","$2,591,506,291","79,456","Analyze"
"DDAIF","Daimler AG","Germany","","GF:DAI","Frankfurt Stock Exchange","No","Consumer Discretionary","$102,420,887,989","0","Analyze"
"DECPF","Diversified Energy Company PLC","United Kingdom","","LN:DEC","London Stock Exchange","No","Energy","$1,401,844,424","135,972","Analyze"
"DGEAF","Diageo PLC","United Kingdom","United Kingdom","LN:DGE","London Stock Exchange","Yes","Consumer Staples","$116,589,104,211","7,679","Analyze"
"DLAKF","Deutsche Lufthansa AG","Germany","","GF:LHA","Frankfurt Stock Exchange","No","Industrials","$8,099,415,238","18,428","Analyze"
"DMGGF","DMG Blockchain Solutions Inc.","Canada","","CV:DMGI","TSX Venture Exchange","No","Information Technology","$156,873,782","6,798,328","Analyze"
"DNN","Denison Mines Corp","Canada","","CT:DML","Toronto Stock Exchange","Yes","Materials","$1,482,567,913","18,069,510","Analyze"
"DOOO","BRP Inc.","Canada","","CT:DOO","Toronto Stock Exchange","Yes","Consumer Discretionary","$3,556,995,998","46,875","Analyze"
"DPSTF","Deutsche Post AG","Germany","","GF:DPW","Frankfurt Stock Exchange","No","Industrials","$77,392,146,310","0","Analyze"
"DRTT","DIRTT Environmental Solutions Ltd.","Canada","","CT:DRT","Toronto Stock Exchange","No","Industrials","$269,230,521","39,190","Analyze"
"DSGX","The Descartes Systems Group Inc.","Canada","Canada","CT:DSG","Toronto Stock Exchange","Yes","Information Technology","$7,051,002,159","85,880","Analyze"
"DTEGF","Deutsche Telekom AG","Germany","","GF:DTE","Frankfurt Stock Exchange","No","Communication Services","$95,540,546,699","739","Analyze"
"DYFSF","DynaCERT Inc.","Canada","","CV:DYA","TSX Venture Exchange","No","Industrials","$71,259,377","31,486","Analyze"
"DYLLF","Deep Yellow Limited","Australia","","AT:DYL","Asx - All Markets","No","Unknown","$308,346,985","384,429","Analyze"
"EDVMF","Endeavour Mining Corporation","Canada","","CT:EDV","Toronto Stock Exchange","No","Materials","$6,379,287,971","39,608","Analyze"
