"Symbol","Name","U.S. Exchange","Cross-list symbol","Cross-list exchange","GICS Sector","Industry","Market cap","Average Volume","Action"
"ZOM","Zomedica Pharmaceuticals Corp.","NYSE American","CV:ZOM","","Health Care","Drug Manufacturers—Specialty & Generic","$498,685,055","18,649,753","Analyze"
"NOA","North American Construction Group Ltd.","New York Stock Exchange","CT:NOA","Toronto Stock Exchange","Energy","Oil & Gas Equipment & Services","$491,133,198","29,358","Analyze"
"BLU","BELLUS Health Inc.","NASDAQ Global Select","CT:BLU","Toronto Stock Exchange","Health Care","Biotechnology","$477,857,902","1,337,272","Analyze"
"EGLX","Enthusiast Gaming Holdings Inc.","NASDAQ Global Select","CT:EGLX","Toronto Stock Exchange","Communication Services","Electronic Gaming & Multimedia","$455,450,314","288,117","Analyze"
"UROY","Uranium Royalty Corp.","NASDAQ Capital Market","CV:URC","TSX Venture Exchange","Energy","Uranium","$445,824,916","1,258,283","Analyze"
"ATY","AcuityAds Holdings Inc.","NASDAQ Capital Market","CT:AT","Toronto Stock Exchange","Communication Services","Internet Content & Information","$436,240,310","215,694","Analyze"
"NMG","Nouveau Monde Graphite Inc.","New York Stock Exchange","CV:NOU","TSX Venture Exchange","Materials","Other Industrial Metals & Mining","$413,616,057","112,534","Analyze"
"KOR","Corvus Gold Inc.","NASDAQ Capital Market","CT:KOR","Toronto Stock Exchange","Materials","Gold","$412,761,278","143,488","Analyze"
"ABUS","Arbutus Biopharma Corporation","NASDAQ Global Select","","","Health Care","Biotechnology","$411,519,121","2,721,128","Analyze"
"NSR","Nomad Royalty Company Ltd.","New York Stock Exchange","CT:NSR","Toronto Stock Exchange","Materials","Other Precious Metals & Mining","$408,365,351","15,654","Analyze"
"GROY","Gold Royalty Corp.","NYSE American","","","Materials","Other Precious Metals & Mining","$391,626,944","701,777","Analyze"
"SOLO","Electrameccanica Vehicles Corp. Ltd.","NASDAQ Capital Market","","","Consumer Discretionary","Auto Manufacturers","$387,555,782","2,563,980","Analyze"
"MOGO","Mogo Finance Technology Inc.","NASDAQ Capital Market","CT:MOGO","Toronto Stock Exchange","Financials","Software—Application","$381,887,963","1,014,207","Analyze"
"TK","Teekay Corp","New York Stock Exchange","","","Energy","Oil & Gas Midstream","$378,147,234","1,116,189","Analyze"
"FTRP","Field Trip Health Ltd.","NASDAQ Global Select","CT:FTRP","Toronto Stock Exchange","Health Care","Medical Care Facilities","$341,591,631","151,919","Analyze"
"CYBN","Cybin Inc.","NYSE American","QF:CYBN","","Health Care","Biotechnology","$341,408,896","1,174,981","Analyze"
"REAX","The Real Brokerage, Inc.","NASDAQ Capital Market","CV:REAX","TSX Venture Exchange","Real Estate","Real Estate Services","$336,656,566","99,866","Analyze"
"THTX","Theratechnologies Inc.","NASDAQ Capital Market","CT:TH","Toronto Stock Exchange","Health Care","Drug Manufacturers—Specialty & Generic","$334,338,969","263,544","Analyze"
"MTA","Metalla Royalty & Streaming Ltd.","NYSE American","CV:MTA","TSX Venture Exchange","Materials","Other Precious Metals & Mining","$334,057,976","190,825","Analyze"
"VBNK","VersaBank","NASDAQ Global Select","CT:VB","Toronto Stock Exchange","Financials","Banks-Regional","$323,892,996","22,902","Analyze"
"PLM","Polymet Mining Corporation","NYSE American","CT:POM","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$322,807,424","90,595","Analyze"
"GSS","Golden Star Resources","NYSE American","CT:GSC","Toronto Stock Exchange","Materials","Gold","$318,243,879","458,763","Analyze"
"GTE","Gran Tierra Energy Inc.","NYSE American","CT:GTE","Toronto Stock Exchange","Energy","Oil & Gas E&P","$315,723,035","11,924,338","Analyze"
"HITI","High Tide Inc.","NASDAQ Capital Market","","","Health Care","Pharmaceutical Retailers","$315,694,235","191,323","Analyze"
"PROF","Profound Medical Corp.","NASDAQ Capital Market","CT:PRN","Toronto Stock Exchange","Health Care","Medical Devices","$305,802,030","63,313","Analyze"
"PPTA","Perpetua Resources Corp.","NASDAQ Capital Market","CT:PPTA","Toronto Stock Exchange","Materials","Gold","$303,963,700","86,871","Analyze"
"GP","GreenPower Motor Company Inc.","NASDAQ Capital Market","CV:GPV","TSX Venture Exchange","Consumer Discretionary","Auto Manufacturers","$302,063,106","110,038","Analyze"
"XRTX","XORTX Therapeutics Inc.","NASDAQ Capital Market","CF:XRX","Canadian Securities Exchange","Health Care","Biotechnology","$294,171,834","196,288","Analyze"
"ANY","Sphere 3D Corp.","NASDAQ Capital Market","","","Information Technology","Software—Application","$277,363,024","31,906,876","Analyze"
"DRTT","DIRTT Environmental Solutions Ltd.","NASDAQ Global Select","CT:DRT","Toronto Stock Exchange","Industrials","Engineering & Construction","$269,230,521","39,190","Analyze"
"WRN","Western Copper And Gold Corporation","NYSE American","CT:WRN","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$265,374,780","427,838","Analyze"
"PRTG","Portage Biotech Inc.","NASDAQ Capital Market","","","Health Care","Biotechnology","$264,125,542","14,516","Analyze"
"AXU","Alexco Resource Corp","NYSE American","CT:AXU","Toronto Stock Exchange","Materials","Other Precious Metals & Mining","$259,562,316","684,343","Analyze"
"SRRA","Sierra Oncology","NASDAQ Global Market","","","Health Care","Biotechnology","$258,874,832","49,095","Analyze"
"EMX","Emx Royalty Corporation","NYSE American","CV:EMX","TSX Venture Exchange","Materials","Other Industrial Metals & Mining","$234,883,323","156,344","Analyze"
"NAK","Northern Dynasty Minerals Ltd.","NYSE American","CT:NDM","Toronto Stock Exchange","Materials","Other Industrial Metals & Mining","$225,934,873","11,801,869","Analyze"
"ALYA","Alithya Group Inc. - Class A Subordinate Voting Shares","NASDAQ Capital Market","CT:ALYA","Toronto Stock Exchange","Information Technology","Information Technology Services","$225,763,789","22,055","Analyze"
"FLGC","Flora Growth Corp.","NASDAQ Capital Market","","","Consumer Discretionary","Drug Manufacturers—Specialty & Generic","$197,511,639","2,093,185","Analyze"
"GLDG","GoldMining Inc.","NYSE American","CT:GOLD","Toronto Stock Exchange","Materials","Gold","$192,980,178","320,819","Analyze"
"IMCC","IM Cannabis Corp.","NASDAQ Capital Market","","","Consumer Discretionary","Drug Manufacturers—Specialty & Generic","$191,158,816","93,388","Analyze"
"BRAG","Bragg Gaming Group Inc.","NASDAQ Global Select","","","Communication Services","Electronic Gaming & Multimedia","$184,127,553","34,334","Analyze"
"PLG","Platinum Group Metals Ltd.","NYSE American","CT:PTM","Toronto Stock Exchange","Materials","Other Precious Metals & Mining","$182,711,012","1,068,862","Analyze"
