Symbol,Description,Category2,Category3,Index Country,GICS Sector,Industry,Market Cap,Current Yield,PB Ratio,PE Ratio,PS Ratio,NI%,ROE%,Beta,Actions
DRE,Duke Realty Corporation,REITs,Large cap,USA,Real Estate,REIT—Industrial,"$20,755,754,947 ",1.84%,3.85,42.14,19.05,45.52,8.99,0.63,Analyze
DRH,DiamondRock Hospitality Company,REITs,Small cap,USA,Real Estate,REIT—Hotel & Motel,"$1,952,445,917 ",1.35%,1.3,-4.06,6.36,-155.43,-31.24,1.77,Analyze
DRI,Darden Restaurants Inc,Common stocks,Large cap,USA,Consumer Discretionary,Restaurants,"$18,583,914,580 ",2.40%,6.88,22.93,2.33,10.33,29.94,1.36,Analyze
DRIO,Dariohealth Corp.,Common stocks,Micro cap,USA,Health Care,Diagnostics & Research,"$272,569,616 ",0.00%,2.23,-5.23,21,-372,-40.87,1.72,Analyze
DRMA,"Dermata Therapeutics, Inc.",Common stocks,Micro cap,USA,Health Care,Biotechnology,"$37,728,689 ",0.00%,12.03,0,0,0,881.44,0,Analyze
DRMAW,"Dermata Therapeutics, Inc. - Warrant",Warrants,Operating Companies,USA,Health Care,Biotechnology,"$37,728,689 ",0.00%,2.66,0,0,0,719,0,Analyze
DRNA,Dicerna Pharmaceuticals Inc,Common stocks,Small cap,USA,Health Care,Biotechnology,"$1,614,538,752 ",0.00%,14.74,-12.69,9.03,-72.28,-116.33,0.9,Analyze
DRQ,Dril Quip Inc,Common stocks,Small cap,USA,Energy,Oil & Gas Equipment & Services,"$897,470,016 ",0.00%,0.89,-17.54,2.64,-14.79,-5.06,1.24,Analyze
DRRX,Durect Corp,Common stocks,Micro cap,USA,Health Care,Drug Manufacturers—Specialty & Generic,"$261,620,607 ",0.00%,3.62,-10.98,43.55,-403.73,-33.01,1.23,Analyze
DRTT,DIRTT Environmental Solutions Ltd.,Common stocks,Micro cap,Canada,Industrials,Engineering & Construction,"$270,510,539 ",0.00%,2.69,-9.17,1.7,-15.3,-25.04,1.46,Analyze
DRVN,Driven Brands Holdings Inc.,Common stocks,Mid cap,USA,Industrials,Auto & Truck Dealerships,"$4,969,185,907 ",0.00%,3.08,662.2,2.65,0.81,0.9,0,Analyze
DS,Drive Shack Inc,Common stocks,Micro cap,USA,Consumer Discretionary,Leisure,"$252,314,048 ",4.38%,8.12,-13.72,0.96,-4.71,-24.92,1,Analyze
DSAC,Duddell Street Acquisition Corp. - Class A,Common stocks,Micro cap,USA,Financials,Shell Companies,"$170,975,000 ",0.00%,42.71,0,0,0,-39.19,0,Analyze
DSACU,Duddell Street Acquisition Corp - Units (1 Ord Class A & 1/2 War),Units,Micro cap,USA,Financials,Shell Companies,"$170,975,000 ",0.00%,44.24,0,0,0,1.43,0,Analyze
DSACW,Duddell Street Acquisition Corp. - Warrant,Warrants,Shell Companies,USA,Financials,Shell Companies,"$170,975,000 ",0.00%,0,0,0,0,-39.19,0,Analyze
DSAQ=,"Direct Selling Acquisition Corp. Units, each consisting of one share of Class A common stock and one-half of redeemable warrant",Units,Unknown,usa,Financials,Shell Companies,$0 ,0.00%,0,0,0,0,0,0,Analyze
DSEY,"Diversey Holdings, Ltd.",Common stocks,Mid cap,USA,Materials,Personal Services,"$5,028,191,410 ",0.00%,8.04,-65.44,1.96,-2.99,-12.29,0,Analyze
DSGN,"Design Therapeutics, Inc.",Common stocks,Small cap,USA,Health Care,Biotechnology,"$807,007,342 ",0.00%,2.02,-386.03,0,"-8,817.92",-3.8,0,Analyze
DSGX,The Descartes Systems Group Inc.,Common stocks,Mid cap,Canada,Information Technology,Software—Application,"$6,992,610,519 ",0.00%,7.31,97.58,18.19,18.76,7.49,0.69,Analyze
DSKE,Daseke Inc,Common stocks,Small cap,USA,Industrials,Trucking,"$632,585,646 ",75.17%,7.08,14.42,0.44,3.52,32.28,1.4,Analyze
DSKEW,"Daseke, Inc. - Warrant Expiring 2/2022",Warrants,Operating Companies,USA,Industrials,Trucking,"$5,766,416 ",0.00%,0,0.2,0,1.71,39.87,1.64,Analyze
DSP,Viant Technology Inc.,Common stocks,Micro cap,USA,Information Technology,Software—Application,"$163,577,598 ",0.00%,1.6,28.99,0.87,7.25,4.9,0,Analyze
DSPG,Dsp Group Inc,Common stocks,Small cap,USA,Information Technology,Semiconductors,"$529,151,565 ",0.00%,3.36,-106.06,4.19,-3.95,-3.2,1.3,Analyze
DSS,Document Security System Inc,Common stocks,Micro cap,USA,Industrials,Specialty Business Services,"$94,100,145 ",0.00%,0.47,-11.76,6.3,-61.11,-5.35,0.24,Analyze
DSWL,Deswell Industries Inc.,Common stocks,Micro cap,China,Consumer Discretionary,Electronic Components,"$63,342,575 ",4.74%,0.74,-48.29,0.47,0.15,0.23,0.35,Analyze
