"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"FEDU","Four Seasons Education (Cayman) Inc.  ADRs","China","PRIVATE","","Consumer Staples","$26,906,206","0.00","0.00","0.00","8.04%","166,880","Analyze"
"BVXV","BiondVax Pharmaceuticals Ltd. ADRs","Israel","PRIVATE","","Health Care","$26,340,431","0.00","0.00","0.00","0.00%","120,684","Analyze"
"MFH","JMU Limited ADRs","China","PRIVATE","","Consumer Discretionary","$24,889,082","0.00","0.00","0.00","0.00%","260,147","Analyze"
"APOP","Cellect Biotechnology Ltd. ADRs","Israel","PRIVATE","","Health Care","$24,786,173","0.00","0.00","0.00","0.00%","4,389,568","Analyze"
"JT","Jianpu Technology Inc.  ADRs of Class A","China","PRIVATE","","Financials","$24,782,043","0.00","0.00","0.00","0.00%","99,219","Analyze"
"XTLB","XTL Biopharmaceuticals ADRs","Israel","IT:XTLB","Tel Aviv Stock Exchange","Health Care","$21,707,216","0.00","0.00","0.00","0.00%","117,646","Analyze"
"JRJC","China Finance Online ADRs","China","PRIVATE","","Financials","$12,527,255","0.00","0.00","0.00","0.00%","30,133","Analyze"
"MOHO","ECMOHO Limited ADRs","China","PRIVATE","","Consumer Discretionary","$10,985,942","0.00","0.00","0.00","0.00%","801,302","Analyze"
"TLSA","Tiziana Life Sciences plc  ADRs","United Kingdom","LN:TILS","London Stock Exchange","Health Care","$843,442","0.00","0.00","0.00","0.00%","1,077,294","Analyze"
"PUK#","Prudential Public Limited Company American Depositary Shares Ex-distribution When-issued","","","","Unknown","$0","0.00","0.00","0.00","0.00%","0","Analyze"
